1. [Sales Rep]  Garrett, hey. This is Josh with Nook's. Happy Friday to you.
2. [Prospect]  Hello? Hey. Who is this?
3. [Sales Rep]  Yeah. It's it's Josh with Nook's. I probably caught you mid coffee slipper driving there. Do you have 30 seconds? So, Gary, if I miss the mark, I'll just hang up on myself. Okay. I appreciate you, man. I so reason I was reaching out to you, specifically, Garrett, I know you're Managing a team. I'm sure you got a bunch of SDRs, BDRs making outbound cold calls. Is that is that a fair assumption?
4. [Prospect]  Correct.
5. [Sales Rep]  Okay. Good deal. Those pesky SDRs. I know cold calls are the worst, so I I appreciate you picking up, but, Garrett, you you tell me if I'm wrong here, man, but, I'm talking to our managers every day, and when it comes to cold calls to drive more piped in, getting people to actually pick up the phone Can be a challenge, and then it's the worst when your team spends a dial block just listening to the ringtone. So SQLs can be down and all that stuff. Are you are you bumping into any of that over there at field routes, or do you have
6. [Prospect]  I mean, you know, we have our challenges, of course. I mean, there's I don't think there's a single BDR or SDR organization that doesn't.
7. [Sales Rep]  Yeah.
8. [Prospect]  But, I guess with I mean, to be honest, the only reason I listen to these calls is because of what I do. So, but
9. [Sales Rep]  You.
10. [Prospect]  yeah. I mean, why don't you just tell me, like, How you think you could help us? And then if I, I think it's worth looking into, then I'll I'll let you know.
11. [Sales Rep]  Yeah. Totally. No. I'm correct me if I'm wrong. I was looking at you. Blake had a job posting from a few months back that's been taken down, but I was able to see the posting. It looks like you guys had a KPI of making about 70 many contacts between, like, emails and dials a day. Is that accurate?
12. [Prospect]  Yeah. That's that's pretty accurate.
