1. [Prospect]  Hello?
2. [Sales Rep]  John, this is Josh with Nook's. How's your Thursday going?
3. [Prospect]  Not too bad. How's it
4. [Sales Rep]  Yeah. Good. Good. Yeah. It's going good. Thanks for asking, John. I, hey. I I know I'm calling you out of the blue here, John. Do you have 30 seconds for me to tell you while I'm calling? If Mark, I'll just hang up on
5. [Prospect]  going? Sure. Yeah. Of course.
6. [Sales Rep]  k. I appreciate you. John, I I know you you probably literally have 300 things on your plate over there at Fetch. You've been the SDR team. I'm curious if If your SDRs, if they're making a lot of outbound cold calls.
7. [Prospect]  Yeah. Totally. So it hasn't updated on LinkedIn. So I'm actually no longer This week anyway. So so I'm I'm there were some pre org changes there, so I'm no longer with Fetch.
8. [Sales Rep]  Okay. Oh, sorry to hear about
9. [Prospect]  Nope. Totally okay.
10. [Sales Rep]  that, man.
11. [Prospect]  Totally okay.
12. [Sales Rep]  Are you, Have you you got your eyes on a different company yet? How's that going? I know that
13. [Prospect]  Yeah. Yeah. I got some connections. I got some calls set up, so I'm already working on it.
14. [Sales Rep]  Okay. Good to hear, man. Good to hear. Well, best of luck for that, John. I, I don't know. I actually I experienced the layoff this year, And it was awful, and it led me somewhere a lot better. So life has a way of working out like that. You know?
15. [Prospect]  Yeah. Hope hopefully hopefully Same. So I appreciate it.
16. [Sales Rep]  Yeah. Hi, John. Before I let you go here, I know this isn't relevant for you anymore, but As far as fetch goes, are those SDRs over there, are they making a lot of outbound calls and that kind of thing?
17. [Prospect]  They were, but I think the entire SDR team was part of the but I also am not sure how they're handling that too. So
18. [Sales Rep]  Okay. Damn. K.
19. [Prospect]  yeah.
20. [Sales Rep]  Totally fair.
21. [Prospect]  Yep. Sorry about that.
22. [Sales Rep]  Totally fair. Yeah. No. No. You're good, man. You're good. I'll, yeah, best of luck with everything. I appreciate the the intel here.
23. [Prospect]  Yep. Thank you. Appreciate it.
