1. [Sales Rep]  Hello?
2. [Prospect]  Hello?
3. [Sales Rep]  Hey. Is this Dana?
4. [Prospect]  Yeah. What's up?
5. [Sales Rep]  Hey. Sorry, Dana. I I just called you. I got disconnected. I it's Josh with Nook's. How's your Wednesday treating you?
6. [Prospect]  Good. Nook?
7. [Sales Rep]  Good. Nooks. Yeah. I, I'm probably catching you mid coffee sip If you drink coffee this late in your day, probably not. I don't know. Dana, I I
8. [Prospect]  I see it's a gem.
9. [Sales Rep]  Oh, nice. K. I'll be I'll be so quick because I respect the gym. Are we doing Are we doing back biceps? That's what my partner did this morning.
10. [Prospect]  Oh, nice. Now I'm I'm doing some legs. I'm just on the thermostat warming up right now.
11. [Sales Rep]  Okay. Bless you. Okay. Well, if you go quiet, it's because you passed out because the Stairmaster is a beast. So,
12. [Prospect]  I guess.
13. [Sales Rep]  Dana, I'll If I'm being totally upfront, I actually I have a buddy that works, at 1 local. I he was telling me that your SDR team I know you manage the SDR team there, and it sounds USDRs make a lot of cold calls and that they're they're good on the phone. They book a lot of their meetings through cold calling. Is that accurate or was he lying to me?
14. [Prospect]  No. Yeah. That's true.
15. [Sales Rep]  Okay. Good deal. I that's exactly why I was reaching out. So I don't know if you're bumping into this at all, Dana, but a lot of the folks, like, I'm talking to SDR managers every day, and when it comes to to making cold calls and booking meetings off the phone, it's a it's a great way for sure. My favorite way personally, but some challenges that they're all bumping into is, like, increasing volume. It takes forever. Getting connect rates can be low so that Sometimes your reps will spend a call block just listening to the ringtone. Is that something that your team's bumping into at all, or do you have something in place that kind of makes sure that doesn't happen?
16. [Prospect]  So our my team is, like, very new. Like, we aren't fully ramped yet. So
17. [Sales Rep]  Yeah.
18. [Prospect]  They're still, like, going through the training period.
19. [Sales Rep]  Awesome.
20. [Prospect]  They have got to, like, a 100 calls a day, but it's not necessarily with, like, a target yet. So things like Connect Rate and stuff like that. It's more just, like, getting through the script. So I feel like then I guess it might be a little bit premature on my end because I I really, like, just bought them pretty recently.
21. [Sales Rep]  Yeah.
22. [Prospect]  So, yeah, I don't really know yet the answer
