1. [Prospect]  Hello?
2. [Sales Rep]  Hi. Is this Tal at Ping Identity? Hi, my name is Kevin. I am a PM at NOOX. We're a Stanford startup that builds parallel diode software. Am I catching you at a bad time?
3. [Prospect]  Say that one again. Sorry.
4. [Sales Rep]  Yeah, my name is Kevin. I'm a product manager at Nook's. We're a company that builds software for SDRs and SDR leads. We have we build a
5. [Prospect]  Yeah. Yeah. Yeah. I know the I know the type of one. Yeah.
6. [Sales Rep]  have we reached you before, and I just have the wrong info in my in my tool? Or
7. [Prospect]  It is it is Plausible, but I just happen to be on, some extended my son was just born, so I'm on extended leave. So it won't be one that I'm taking.
8. [Sales Rep]  Congratulations. I'm really sorry to bother you.
9. [Prospect]  Yeah. Yeah. It won't be one that I'm taking a look at right now, but, yeah, that's part of them sometimes. But I,
10. [Sales Rep]  Congratulations.
11. [Prospect]  Hey. Yeah. No. Thank you very much. I would say that, probably, the better person is more in the US, Within the US direction. The ones in the US Other ones that make, though, this on this level, the decision, because they they might more do the acquisition side and not just, but So the day to day side as well.
12. [Sales Rep]  That makes sense. Tal, congratulations on your new kid. I'm gonna be a parent in March. I'm, terrified and excited at the same time, But I've got a couple of months ago.
13. [Prospect]  Yep. Yeah. Big journey. Big journey. Really, really. Yeah.
14. [Sales Rep]  Alright. I won't take up any more of your time. I'll make sure that that, you know, we'll follow-up with anyone on the US side. Congratulations on your new kid, and I'll make sure that, we don't bother you.
15. [Prospect]  No problem. Thank you so much.
16. [Sales Rep]  Thank you. Take care.
