1. [Prospect]  Hello?
2. [Sales Rep]  Hey, Aidan. It's Patrick calling from over at Nook's. Happy, happy Friday. How's it going?
3. [Prospect]  I'm doing good. Where did you say you're calling from?
4. [Sales Rep]  I'm calling from a company called Nook. Have you ever heard of this perchance? Yeah. N double o k s. And if not, is totally a cold call. I'm happy to give you the 32nd pitch on why I'm calling you. I you know, I was doing some research on Park Place, so you can feel free to hang up on me if you feel it's irrelevant After I give a
5. [Prospect]  No. I'll be honest with you. I'll be on I promise I'll give you I'll give you your time. My headset is just not Working right now. Let me just double check and figure out why is that not working.
6. [Sales Rep]  pitch. Can you hear me now?
7. [Prospect]  Let me see. Let's give that a shot. Yeah. Going so wait. You said Nook, n double o k?
8. [Sales Rep]  N, double o, k s. Yep. Are you gonna pull up the website while you get the while you get the white glove cold Call
9. [Prospect]  Okay. Yeah. Sure. Go on.
10. [Sales Rep]  here.
11. [Prospect]  Give it to me. It's a it's a Friday afternoon. I got 7 minute or 3 minutes before I'm leaving. So
12. [Sales Rep]  Alright. Sounds good. It'll be the best 3 minutes wrap up of the week, I promise.
13. [Prospect]  I
14. [Sales Rep]  But no. So I'm I'm calling because I was doing
15. [Prospect]  told my wife. Alright. Let's go.
16. [Sales Rep]  I'm calling because, I was doing some research on Park Place, and it looks like you guys invest pretty heavily into your your SDR team. So I figured cold calling is probably a a pretty big part of you guys' pipeline generation strategy. And really what it boils down to, Aidan, is Well, I'm hoping, like, my customers get 3 x, 5 x conversations per day, but it's it's their team, they're in the platform, it's your SDRs That are just talking to more more prospects. And we actually have a virtual sales floor that's, that's making it fun and enjoyable. And so really quickly, though, let me think of let me just backtrack a little. Is cold calling an important piece of your pipeline generation strategy, or or what's your world look like?
17. [Prospect]  Yeah. So it's it's pretty so I I am a sales development manager, but I work, I work under sales enablement. So we're technically, currently, still a training department. That's my core focus. Just taking a look. So it's an AI daughter that helps Almost kind of bring in prequalified calls in a way.
18. [Sales Rep]  So the way you want to think about it is, Right now, your team is, you know do you guys have anything? Like, what do you guys use for dialing? Is it Outreach, SalesLoft? Are you guys in Salesforce? Like, what is what is cold calling look like for you guys.
19. [Prospect]  Yeah. So we we use Outreach for our outbound, but we're not using their dialer yet. We are still on Cisco Jabber.
20. [Sales Rep]  Got it. So,
21. [Prospect]  So so it's not the the actual dialing out is not automated?
22. [Sales Rep]  essentially yeah. So, essentially, what you would be able to do with Moocs is we Integrate directly with Outreach, and what you're going to be able to do is, your your team will be able to and really quickly before I even say this, you guys on the same office? Are you hybrid? Are you remote? What is the the culture like over there for your SDR organization?
