1. [Prospect]  Hello?
2. [Sales Rep]  Hey, John. Hey, John. It's, it's Cameron over at Nook's. Totally frank, this is a a cold call. Do you have 30 seconds for me to share why I called? We can see if it makes sense to chat.
3. [Prospect]  For sure.
4. [Sales Rep]  Appreciate that. So you're leading biz dev over at customer. I was curious. Is cold calling, is that Also an important part of of your team's pipeline gen strategy? Or
5. [Prospect]  Yeah. Yeah. Speak
6. [Sales Rep]  Okay. So how is your, how's your team going about that at the moment? Do they do they dial out of, say, SalesLoft or Outreach or do they have a system in place for that?
7. [Prospect]  Yeah. We we, have Outreach right now.
8. [Sales Rep]  Outreach. Okay. Gotcha. I'll just share a few challenges that we're hearing with with other, know, outbound cold calling teams can let me know if they're relevant, but, of course, priority number 1 is that, connect rates are lower than ever. It's taken a lot more activity to get the job done and actually bring in pipe. In response to that, on a lot of teams, there's a big activity gap. Only the best reps on the team are actually putting in the dials to drive meaningful pipeline. Then as well, it can be hard to to make Changes pivots to your messaging unless you're listening to call after call. Does any of that hit home for you in the team right now or totally off track?
9. [Prospect]  Those are very common challenges to any SDR organization.
10. [Sales Rep]  What what might be the kind of like top of mind focus for you whether that be connects actual KPIs and activity of the team or enablement?
11. [Prospect]  Yeah. Probably right in this exact moment. It's Yeah. Sure. So we're trying to figure it out. You know, I I've been I was a customer for a while. I left,
12. [Sales Rep]  Okay.
13. [Prospect]  and then we came I came back as a boomerang. And then the the 4 STRs are very tenured as well, and they, they were some of my top performing reps back in the day, so we brought them back. Traditionally, we've had most of our success through email in the customer experience space, calling into, like, retail, d to c companies. A little bit harder to, connect rates have been typically pretty low whether we pull from Zoom in So Apollo, LeadIQ,
14. [Sales Rep]  Yeah.
15. [Prospect]  you know, we've used multiple data sources. But Right now, we're right now, we have a big pool of old opportunities that we're going through. A pretty massive pool we've typically had success And it's been a while since they've been reached out to. So, you know, we're our response rate is pretty high. We're we're getting about 10% response rate, 11% response rate on on each email that we send out.
16. [Sales Rep]  Yeah. That's good.
17. [Prospect]  It's, it's more just you know, we're a rip and replace model, so everybody has a CRM. We're just and we have to See when their contract is with the timing game. So probably the biggest thing that I is on my mind is some sort of intent That's gonna tell me that somebody is looking to buy
18. [Sales Rep]  Yep.
19. [Prospect]  something right now. Let's
20. [Sales Rep]  Right. Yeah. I,
21. [Prospect]  see
22. [Sales Rep]  I can certainly let you know what, what what I like to use for that. So but but I'm not calling you with an intent software. What we do is, you know, as opposed to the workflow where reps are Placing a dial 1 by 1, listening to that ringtone, logging call tasks for, in most cases, prospects aren't picking up. What we do is do all of that manual work for them. And as opposed to placing those dials, we only connect, connect your reps to folks pick up the phone live.
23. [Prospect]  Hello?
24. [Sales Rep]  So typically a big you have life change and
25. [Prospect]  Can I cancel ORM type software then?
26. [Sales Rep]  Yeah. Yeah. We're similar, in the same space. And I'd say when it comes to, like, live and post call enablement, that's where we've got quite an edge. And then I'd like to say that we've almost completely figured out the bridge time issue too. Is that have you looked into tools like that before? It sounds like.
27. [Prospect]  Yeah. I've used both connected cylinder worms Invest.
28. [Sales Rep]  I see. I guess, was there anything if you've used it in the past, was there anything holding you back from, say, when you moved Back to customer, from looking into tools like that.
29. [Prospect]  You know, we thought about it. Actually, we thought about it.
30. [Sales Rep]  Okay. John, would it make sense to maybe show you and maybe some of your team Tool sometime next week if it's if it's relevant.
31. [Prospect]  Yeah. What's let me look at your company real quick. I'll make it. What what's the name of your company? How how, how long you guys been in business?
