1. [Prospect]  This is Jennifer. Okay. Okay. Thanks, babe.
2. [Sales Rep]  Hey, Jen.
3. [Prospect]  Yes.
4. [Sales Rep]  Hi, Jen. It's, it's Cameron over at Nook's. Totally frank with you. This is a a cold call. Do you have 30 seconds to hear me out? We'll see if it makes sense to chat.
5. [Prospect]  Sure.
6. [Sales Rep]  Appreciate that. I saw you're leading biz dev at Apogee. How, how important is that is outbound cold calling for for the team.
7. [Prospect]  The team that does that, it's their sole resource. So
8. [Sales Rep]  Resources outbound. Cold calling for pipeline, Jen.
9. [Prospect]  for the team that does cold calling, yes.
10. [Sales Rep]  Oh, I see. Is that the team that that you're leading or
11. [Prospect]  No. Uh-uh.
12. [Sales Rep]  Oh, I see. Okay. So I am reaching out to you. I actually reached out to you with our software. It's a platform called Nook's. What it does is instead of, you know, me taking all day to make a 100 calls of which maybe 5 or so of them will answer. It only connects me to live conversation, so folks like yourself will pick up the phone. For teams that do cold calls, typically, they're having 3 to 5 times the conversations in a day that they would. Who is Is there anyone that might be relevant for, the team that does?
13. [Prospect]  I wouldn't know. I would just call and, you know, ask for, you know, the team that's doing the the cold calling. So
14. [Sales Rep]  I I see. So you don't you don't know who is who would visit that team that is?
15. [Prospect]  no. It's not the business development team. It's like a sales development rep team.
16. [Sales Rep]  I see. Okay. Alright, Jim. Well, that's, that's helpful. I appreciate you taking the call. Yes. Take care. Have a good
