1. [Prospect]  Hello?
2. [Sales Rep]  Hey, Lance. How's your,
3. [Prospect]  Yeah. This
4. [Sales Rep]  your Wednesday going?
5. [Prospect]  is him. Good. How are you?
6. [Sales Rep]  I'm not too bad. Hey. This is This is obviously totally a cold call, but, I I I'd love to tell you exactly why I'm calling you if you have 30 seconds to hear my pitch. And if you've paid it, you can Totally feel free to hang up on me. This is, like, a a good deal.
7. [Prospect]  That's fine.
8. [Sales Rep]  Cool. So I I noticed that you Looks like you run sales development over there, with Mike over at at Payscale. And, really, the reason I'm reaching out is, I'm calling from a company called Nook's. And what we help teams do is basically 3 to 5 x their team's daily call activities, conversations, at bats, and Meetings and there's a whole another component too where we really help we really focus on increasing conversions of those connects to to actual meetings. But wanna take a step back to make sure I'm not being too overbearing. Is cold calling a big piece of Payscale's outbound strategy, or what's your world look like?
9. [Prospect]  Yeah. It's a big part. I would say we're probably like 75% outbound
10. [Sales Rep]  Okay. 75% outbound. And then, like, what portion of your meetings or pipeline is coming from cold calls versus the other channels? 5050. So, like, you know, if Gotcha. So, like, if, like, we if there was a way for your team to, like, basically, like, make calls more efficiently let me just ask. Do you guys are outreach or or SalesLoft shop? SalesLoft. So, like, if, like, we could basically say, like, hey. Your team is a 100 your. This rep has a 100 calls to make today in SalesLoft tasks. What they could basically do is pull up notes, jump in with their with their actual team if they wanted to, like, be in a virtual sales floor, And we would help work through that list calling, like, 3 to 5 numbers at a time, which is totally up to your rep at How many calls they actually wanna make so that, like, they're multiplying their chances of getting in touch with somebody and also getting all that information logged in SalesLoft. So, essentially, it's, like, Just really efficiently working through call tasks so your team can jump in. Instead of focus on calling in SalesLoft and logging the call, We automate all those tasks. They can really just focus on having conversations with prospects. And it goes a step deeper, but I'm curious if that's Enticing at all or interesting to you. I would love to get some some initial feedback.
11. [Prospect]  So is it designed to take information from and put it into Salesforce, or is it more of like an auto dialer type thing?
12. [Sales Rep]  Yes. It's basically It'd be so much are you familiar with, like, parallel dialers, auto dialers, power dialers?
13. [Prospect]  Yeah.
14. [Sales Rep]  Have you in have you evaluated any of those in the past? Any of, like, I think Orum's one. You know? It's basically notes and Orum, I think, are the the top 2 that come up in most conversations from my perspective.
15. [Prospect]  I haven't. Not at they might have before I got here. I know my last job, we we didn't use an auto dialer or anything, so I'm familiar with it. Like, I know what it and all that, but I don't know if Payscale has evaluated in the past.
