1. [Prospect]  Hello?
2. [Sales Rep]  Hey, Evan. Cameron over at Nook. How's your, how's your Monday going, man?
3. [Prospect]  It's going fine. How can I help you?
4. [Sales Rep]  Yeah. I had you as a a sales development director at at Care at Fertility. I I I was simply curious if If the reps that you're leading, if they're also making outbound cold calls to hit target?
5. [Prospect]  Yeah. We are. To be honest, we're going through some difficult times right now as a business, so I'm not sure we'd be
6. [Sales Rep]  I see. I see. Understood. Is, is the team I I guess, the FCR team, are they They struggling to hit pipeline targets or or
7. [Prospect]  No. It's a it's a company wide thing. It's it's above above our our heads.
8. [Sales Rep]  Oh, I see. Okay. Yeah. Sounds like I should probably put a put this account on the back
9. [Prospect]  Yeah. Yeah. I'll take this time. If you want to reach back out, our fiscal starts again, in February. So I'd have a much clearer idea of, like, what's going on, good, bad, or ugly, probably around, like, the February, in March timeline. So I've heard of you guys before. If you want to shoot me a note around then, I'd be happy to give this a deeper look. But right now, we're just know, everything's under a microscope.
10. [Sales Rep]  Alright. I heard loud and clear loud and clear. Thanks for thanks for taking The call, Evan, and I, hope things go well for
11. [Prospect]  Yeah. Appreciate it. Have a good one,
12. [Sales Rep]  you. Yep. Yep. You bet. Take care.
