1. [Prospect]  Hello?
2. [Sales Rep]  Hey there. This is Shar with Nook's. Good afternoon, Mitch.
3. [Prospect]  Sean with who?
4. [Sales Rep]  Nook's, Mitch, this is a cold call. I know it's Friday. I'm shooting my shot here. Do you have a quick 30 seconds for me?
5. [Prospect]  Hey, man. What's going on?
6. [Sales Rep]  Awesome, dude. Yeah. You know, reaching out because I noticed, obviously, you're the director of business development there at dispatch track. I work for
7. [Prospect]  I'll go ahead and save your time, man. I'm leaving dispatch Track. I'm moving over to another company here in about 2 weeks. I'm a be starting up their business development. So Right now, I'm not a good prospect for you, but why don't you tell me a little about what you do because I'm definitely looking to build out the tech stack there, and I'm always open to learn about new things that are out there.
8. [Sales Rep]  Right on, man. Right on. So, essentially, what we're doing is we're a live conversation platform that gets your reps into more conversations. Think of it as like a
9. [Prospect]  Okay. So, like
10. [Sales Rep]  yeah. Go ahead.
11. [Prospect]  Go ahead. So you're like a dialer?
12. [Sales Rep]  Exactly. It's a dialer and a virtual sales floor for, like, the collaboration piece of it.
13. [Prospect]  Or Does it have a conversational intelligence piece, kind of like a gong or a chorus as well as a dialer?
14. [Sales Rep]  The calls do get recorded. Absolutely. You do see the transcripts of the call as well as far as, like, you being a leader. You could chat. You could tell them, hey. Try saying this. You know, there is a really cool Cool. Virtual collaboration piece of it if you have a remote team. The new place that you're going, right, is that kinda what you might be building up?
15. [Prospect]  Yeah. I mean, I'm on our remote team. I mean, I'm gonna go full sales cycle after I get the thing kinda ramped up. I'm a hire some folks. But, You know, I've used some dialers in the past, and some were complete shit, and some were actually really awesome.
16. [Sales Rep]  Yeah.
17. [Prospect]  Orem was a great, great tool. I don't know Hey. Kinda stack it compared to Orem. They're expensive, but they had some really cool features like, the the ability to, to do multiple calls at once Simultaneously,
18. [Sales Rep]  Yep.
19. [Prospect]  it connects you with whoever answers so you can kinda, you know, shred through your call log really, really quick and also do it within time windows to where you need to actually call people. So I found that beneficial anyway. There's some good good, analytics behind it too, around, like, Talk times and objections and things objections, things like that. Do you guys do that sort of stuff?
20. [Sales Rep]  Get ready for this. I actually used to work for Orem for about a year and a half. I was one of their top performers and,
21. [Prospect]  Okay
22. [Sales Rep]  yes, joined Nook's because of exactly what you're saying. Same features here, probably even faster iteration when it comes to Making things, adding things to the platform. Everything that I I actually am using the platform right now and I was using the dialer Connected with you. I see all your pertinent information in front of my screen.
23. [Prospect]  I won't give you a heads up. You came as Potential spam, but
24. [Sales Rep]  Oh, okay. I gotta change I gotta change my number.
25. [Prospect]  from an 818 just to give you a heads up, man. I don't have I'd look out for that, so I make my Never have an SDR team. I haven't checked that pretty frequently, but, yeah, man, you might wanna switch that up.
26. [Sales Rep]  Yeah, I made a few, a couple of 100 dials today, so I got to change that number. But the idea is the same thing here as far as, yeah, more conversations in less time. Look, it sounds like there might be of interest. Do you would you be opposed for just like a 15 minute quick show you the UI? No, like, Promises on using the platform just more or less just showing you how it works.
27. [Prospect]  Yeah. Yeah. That's cool. I mean, yeah, I'll I'll check it out.
28. [Sales Rep]  Yep.
29. [Prospect]  I will have a budget, and I will have the opportunity to build out that stack. I mean, it's gonna probably be about a month Time frame from now.
30. [Sales Rep]  Yeah.
31. [Prospect]  But, I mean, yeah, I'm all I'm all open to that. Why don't you connect me on LinkedIn? I'll get you a meeting. You're compensated on those. Yeah. I'll check it out. I mean, like, this moment, no. I'm not a good prospect, but I will be in, you know, next month. And I'm gonna be doing my due diligence and, you know, Orem was something I was definitely gonna be looking into. So,
32. [Sales Rep]  Yeah.
33. [Prospect]  I mean,
34. [Sales Rep]  Yeah.
35. [Prospect]  they're expensive As hell, no, man. I mean, compared to most dialing, here's what. They're definitely they're top dollar, but, I mean, it works. It it does what it's supposed to do, at least. I mean, our connection rate went up Substantially once I brought that on. So
36. [Sales Rep]  Yep.
37. [Prospect]  it was,
38. [Sales Rep]  Right on. Is that what they're using right now at, dispatch track? Is that what you just said?
39. [Prospect]  definitely good. No. No. There's there's a different group, and they got rid of all the stuff that was working. They completely fucked everything up to be completely frank. They're thinking stiff, dude. I'm so glad to be out of there. But,
40. [Sales Rep]  Gotcha. I appreciate being honest.
41. [Prospect]  this new place, yeah.
42. [Sales Rep]  Cool, man. Well, is it is it too early for me to just throw something on your calendar, or you don't have the email ready, or what would you prefer?
43. [Prospect]  No. I don't have an email with them yet. I literally just I mean, they got me an For today, so I don't have an email active with it yet. I mean, you can send it to my Gmail if you want, and I can check it out. I mean,
44. [Sales Rep]  Yeah. Yeah.
45. [Prospect]  You know, it'd probably be better. Why don't,
46. [Sales Rep]  If it's alright with you yeah. Yeah. Go ahead.
47. [Prospect]  so let's see. I know it's the end of the month. You probably wanna tag a meeting on there, but, You know?
48. [Sales Rep]  You read my mind.
49. [Prospect]  Alright. Yeah, man. If you want, let's do it. I'll check it out.
50. [Sales Rep]  Alright. You you tell me what works.
51. [Prospect]  You need it do you need it to fit this month?
