1. [Prospect]  Hello.
2. [Sales Rep]  Hey, Brandon.
3. [Prospect]  Yep.
4. [Sales Rep]  Hey. Sorry about that. I thought I went to voice mail item. This is Cameron over at Nook's. We had connected 2 weeks back or so, and you told me to try again next week. You have 30 seconds to hear me out.
5. [Prospect]  Yeah. Sure. Go ahead.
6. [Sales Rep]  Appreciate that, man. I I was just curious to start if your SCR team at WiseHive is is cold calling. Is that also an important part of pipeline gen over there?
7. [Prospect]  It is, but why don't you start by telling me what NUCs is? I'm not familiar.
8. [Sales Rep]  About Yeah. Yeah. I'll tell you how I used it to, to reach you. So, in the last hour or so, as opposed to me living in Outreach and, making call by call, logging no call tasks about for the 95% of folks that don't answer. Nooks only connects me to live conversation. So I've been calling for about half an hour. Your my 7th or 8th conversation. All the manual work for the rest of the folks that are that are in any sales sequence I have is taken care of in the back end. About So, yeah, simply, really just speeding up the amount of at bats and conversations that that reps can have typically, typically, noticeably, you know, making a change in pipeline too.
9. [Prospect]  Quick question for you.
10. [Sales Rep]  Yeah.
11. [Prospect]  Does this automatically record all your calls?
12. [Sales Rep]  About it. Not only automatically records them. It it does do that. You can you can toggle that on and off. It it also stores,
13. [Prospect]  Is it recording this 1?
14. [Sales Rep]  this one should be being recorded. Yeah. If I as long as the software's working.
15. [Prospect]  Okay. I'm curious because I have a nine one six number, which I'm I don't know if the rules in California I'm pretty sure the rules in California are You're supposed to say, hey. This is on a recorded line. Curious if you've run into needing to say that out loud.
16. [Sales Rep]  So we've actually been running into that more frequently or, I guess, that that concern with companies. I know that's why, why we introduced, like, the this toggle feature to, turn on call turn on and off the call recording, and I think that would have to, yeah, have to be done on kind of a per rep about basis. I'm unable to do so. But,
17. [Prospect]  Okay.
18. [Sales Rep]  yeah. I I
19. [Prospect]  My other question for you was, Okay. So there's that. Okay. So high level, I've looked into this before. There's
20. [Sales Rep]  about yeah.
21. [Prospect]  you guys might be You guys might be you're not the only one who does this. There's probably a big software that I've looked into in the past who does this, but nonetheless, it doesn't really matter. I have only about 3 reps of which Only really 2 of them would be leveraging a software like this. Now
22. [Sales Rep]  About
23. [Prospect]  it's super interesting, and it makes complete sense. If it didn't make sense,
24. [Sales Rep]  about
25. [Prospect]  Somebody tells you this doesn't make sense and they're an idiot. So this definitely makes sense. The question is cost, right? Like that's we invested in sales
26. [Sales Rep]  about
27. [Prospect]  Navigator. We invested in a video email service. So and I would imagine something like this would Be a pretty decent price tag. So for a 3 person team, just roughly speaking, no bells or whistles needed. What does it usually run roughly? And I know you're probably don't wanna give away price, but I'm just I'm not really in the spot where,
28. [Sales Rep]  about
29. [Prospect]  You know, I I kinda just need a rough idea so that I can even just poke my boss and see if she's interested because when you're in a situation where you've had a lot of Person go.
30. [Sales Rep]  about Yeah.
31. [Prospect]  In the past, it's like just contextually speaking. You don't want to be the guy who said, hey, we just laid off a person. Let me buy a software for $20 a year. What do you think? It's like it's pretty
32. [Sales Rep]  Right.
33. [Prospect]  it's not very, respectful to what's going on in the org. So Can you have an idea for me?
34. [Sales Rep]  Yeah. 3 person team that you'd probably be looking at around 9 to 10 k for the entire year. If you wanna go, you know, power dialer instead of parallel, there's there's leeway there. And, about, what I can share with you too, though, is,
35. [Prospect]  What's the difference?
